Quantity,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Product Markup %
1,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,200
12,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,190
24,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,185
36,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,180
72,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,175
144,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,170
576,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,160
1200,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,150
2400,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,140
5000,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,130
10000,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,110
